,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,hidden_dims,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_reconstruction_error,split1_test_reconstruction_error,split2_test_reconstruction_error,mean_test_reconstruction_error,std_test_reconstruction_error,rank_test_reconstruction_error,ae_mean_fit_time,ae_std_fit_time,ae_mean_score_time,ae_std_score_time,compression
337,40668,79.26612559954327,9.18411344724538,0.08334183692932129,0.007418758912943938,1.65,DAE,"{'ae__hidden_dims': 1.6500000000000001, 'ae__type': 'dae'}",0.7501221190994272,0.7543407788978196,0.7524756871974777,0.7523128617315749,0.0017261048100473632,10,0.008084955625236034,0.008922516368329525,0.011497674509882929,0.009501715501149496,0.0014521860011722412,20.0,43.808189392089844,13.30488032674056,0.022879997889200848,0.0003430535628363772,0.6060606060606061
338,40668,64.63621807098389,11.035852762017058,0.1214279333750407,0.04119823184267812,1.65,SAE,"{'ae__hidden_dims': 1.6500000000000001, 'ae__type': 'sae'}",0.7508770371686132,0.7560282428171766,0.7397753008570541,0.7488935269476146,0.006781851526310643,17,0.0013230780605226755,0.00021181334159336984,0.00019855702703353012,0.0005778161430498585,0.0005270075437128469,95.0,69.27162710825604,20.730213275099906,0.02733763058980306,0.0002654372574957761,0.6060606060606061
339,40668,44.580541054407746,5.612653019124954,0.09102090199788412,0.011082923139720223,1.7000000000000002,AE,"{'ae__hidden_dims': 1.7000000000000002, 'ae__type': 'ae'}",0.7333807007415959,0.7457702384652959,0.7380878369376971,0.7390795920481964,0.005106391087069053,48,0.0005294264410622418,0.0005388088757172227,0.0005773127777501943,0.0005485160315098861,2.071950716169445e-05,98.0,39.22453681627909,4.545017560431654,0.026225169499715168,7.086350291412207e-05,0.588235294117647
340,40668,71.29788907368976,6.9802391629043,0.11672115325927734,0.03313587857218386,1.7000000000000002,DAE,"{'ae__hidden_dims': 1.7000000000000002, 'ae__type': 'dae'}",0.7582929970247346,0.7490119454682712,0.7492783871397487,0.7521944432109181,0.004313700403449939,11,0.00826585479080677,0.008507347665727139,0.009668163023889065,0.008813788493474325,0.0006121255758014482,24.0,47.21679266293845,9.923317373488656,0.026386578877766933,0.00047756621469443564,0.588235294117647
341,40668,56.142712990442895,3.3976527170726234,0.09671807289123537,0.009249813599562978,1.7000000000000002,SAE,"{'ae__hidden_dims': 1.7000000000000002, 'ae__type': 'sae'}",0.7430170078600293,0.7365335938540788,0.7510990718948444,0.7435498912029841,0.005958258198047766,29,0.0007809950038790702,8.789918501861393e-05,0.00012686655099969355,0.00033192024663245934,0.00031794204618656834,117.0,99.1878258387248,39.19524973429626,0.02805757522583008,0.00030012502214435687,0.588235294117647
342,40668,50.8972471555074,6.363353782108168,0.08753641446431477,0.008502550533237313,1.7500000000000002,AE,"{'ae__hidden_dims': 1.7500000000000002, 'ae__type': 'ae'}",0.7421732759003508,0.7442159953816777,0.7401749633642701,0.7421880782154329,0.0016497776158878965,38,0.0003309517924208194,0.0003884807229042053,0.00047847308451309806,0.0003993018666127076,6.0709448844551855e-05,113.0,39.467174847920745,6.260239077966398,0.0260007381439209,0.0008118779857937225,0.5714285714285714
343,40668,96.41708525021869,25.776064700174388,0.10863073666890463,0.02073785152148076,1.7500000000000002,DAE,"{'ae__hidden_dims': 1.7500000000000002, 'ae__type': 'dae'}",0.7570051956125938,0.7582041831342422,0.7559838358719304,0.7570644048729221,0.0009074193421255467,1,0.007724331226199865,0.008998545818030834,0.005973709747195244,0.007565528930475314,0.001239979016140344,40.0,65.78572050730389,22.00671279969646,0.026485522588094074,0.0004219071385291343,0.5714285714285714
344,40668,67.44977347056071,8.371019692742706,0.1232782204945882,0.02883970641860438,1.7500000000000002,SAE,"{'ae__hidden_dims': 1.7500000000000002, 'ae__type': 'sae'}",0.7449709134508637,0.7539411163906035,0.7540743372263422,0.7509954556892698,0.004260341835621701,13,0.00029993627686053514,0.0005859385128132999,0.0007551960297860205,0.0005470236064866184,0.00018788496145115727,99.0,70.25660514831543,17.240278333363786,0.026720762252807617,0.0001942130681864049,0.5714285714285714
345,40668,54.067997376124055,1.9826153865441696,0.13682111104329428,0.04016172627541903,1.8,AE,"{'ae__hidden_dims': 1.8, 'ae__type': 'ae'}",0.7386207202806518,0.7410186953239487,0.7385763133354056,0.7394052429800021,0.0011410271232057307,46,0.00065968296257779,0.0005846444400958718,0.00030085662729106843,0.0005150613433215766,0.0001545324997993418,102.0,38.35427824656168,4.358742066451304,0.025471289952596027,6.979228531625878e-05,0.5555555555555556
346,40668,62.636251370112106,6.8929012937349965,0.10732618967692058,0.007500081689448961,1.8,DAE,"{'ae__hidden_dims': 1.8, 'ae__type': 'dae'}",0.7476353301656379,0.7562058705981616,0.7534970469381411,0.7524460825673135,0.0035769573110809006,8,0.006880966480821371,0.006434318609535694,0.007825039327144623,0.007046774805833896,0.000579738635984221,46.0,75.44794360796611,11.434770603818526,0.027427196502685547,0.0012156037428595553,0.5555555555555556
