,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
36,SVC,21.541491508483887,0.09370660781860353,0.7301173402868318,0.049546003341674805,22.439589262008667,0.09337353706359863,0.6166883963494133,0.0382535457611084,27.83547019958496,0.09383487701416016,0.7742987606001305,0.03833985328674317,44,1.75,23.93885032335917,0.09363834063212076,0.04204646746317545,0.7070348324121252
37,LinearSVC,21.541491508483887,0.11743807792663576,0.9289439374185136,0.001775503158569336,22.439589262008667,0.052602529525756836,0.926336375488918,0.0014216899871826172,27.83547019958496,0.04790806770324707,0.9249836921069796,0.0013909339904785154,44,1.75,23.93885032335917,0.07264955838521321,0.001529375712076823,0.9267546683381372
38,LogisticRegression,21.541491508483887,1.518808126449585,0.9269882659713168,0.003709077835083008,22.439589262008667,0.5044512748718262,0.9243807040417209,0.0011942386627197266,27.83547019958496,0.5231485366821289,0.9223744292237442,0.0011675357818603516,44,1.75,23.93885032335917,0.8488026460011802,0.0020236174265543623,0.9245811330789272
39,GaussianNB,21.541491508483887,0.007782697677612305,0.8591916558018253,0.002694129943847656,22.439589262008667,0.006712913513183594,0.8285528031290743,0.002584218978881836,27.83547019958496,0.005258560180664063,0.8734507501630789,0.002651214599609375,44,1.75,23.93885032335917,0.006584723790486653,0.0026431878407796225,0.8537317363646596
40,DecisionTreeClassifier,21.541491508483887,0.3476719856262207,0.9002607561929595,0.0007760524749755858,22.439589262008667,0.3091704845428467,0.8930899608865711,0.0007772445678710938,27.83547019958496,0.2562174797058105,0.8975864318330071,0.0004923343658447267,44,1.75,23.93885032335917,0.3043533166249593,0.0006818771362304688,0.8969790496375126
41,KNeighborsClassifier,21.541491508483887,0.021076202392578125,0.9172099087353324,0.5922122001647949,22.439589262008667,0.02302217483520508,0.9217731421121252,0.6413285732269287,27.83547019958496,0.019872426986694336,0.9191128506197,0.5977396965026855,44,1.75,23.93885032335917,0.021323601404825848,0.6104268232981364,0.9193653004890526
42,SVC,15.187360286712645,0.10679769515991212,0.6258148631029987,0.04344391822814941,19.07740974426269,0.10013818740844728,0.6701434159061278,0.0421299934387207,25.31273102760315,0.1039714813232422,0.6875407697325505,0.04284429550170898,44,2.0,19.859167019526165,0.1036357879638672,0.04280606905619303,0.661166349580559
43,LinearSVC,15.187360286712645,0.05725288391113281,0.9165580182529336,0.0013575553894042967,19.07740974426269,0.051616907119750984,0.926336375488918,0.0010614395141601562,25.31273102760315,0.053791284561157234,0.9334637964774952,0.0016183853149414062,44,2.0,19.859167019526165,0.054220358530680336,0.0013457934061686199,0.9254527300731156
44,LogisticRegression,15.187360286712645,0.9939355850219728,0.9119947848761408,0.002953529357910156,19.07740974426269,0.3282296657562256,0.92503259452412,0.0008137226104736327,25.31273102760315,1.6318788528442385,0.9373776908023485,0.0038743019104003906,44,2.0,19.859167019526165,0.9846813678741456,0.002547184626261393,0.9248016900675364
45,GaussianNB,15.187360286712645,0.005529165267944336,0.8813559322033898,0.002865076065063477,19.07740974426269,0.002859592437744141,0.8689700130378096,0.0018019676208496094,25.31273102760315,0.0036334991455078134,0.8636660143509458,0.0022482872009277344,44,2.0,19.859167019526165,0.004007418950398764,0.002305110295613607,0.8713306531973818
46,DecisionTreeClassifier,15.187360286712645,0.28803062438964844,0.8859191655801826,0.0007643699645996094,19.07740974426269,0.3039710521697998,0.8826597131681877,0.0005154609680175781,25.31273102760315,0.4124059677124024,0.8988910632746249,0.0010612010955810547,44,2.0,19.859167019526165,0.3348025480906169,0.0007803440093994142,0.8891566473409984
47,KNeighborsClassifier,15.187360286712645,0.02332615852355957,0.9067796610169492,0.7001948356628418,19.07740974426269,0.022114038467407227,0.9269882659713168,0.7158920764923096,25.31273102760315,0.02971649169921875,0.9262883235485976,0.8345661163330078,44,2.0,19.859167019526165,0.025052229563395183,0.7502176761627197,0.9200187501789546
48,SVC,5.409325361251831,0.08101320266723633,0.3220973782771536,0.07940268516540527,8.63641095161438,0.08770632743835449,0.3583489681050657,0.1152184009552002,3.652821063995361,0.08810687065124513,0.3076923076923077,0.0783376693725586,1492,0.25,5.8995191256205235,0.08560880025227864,0.09098625183105467,0.32937955135817565
